nome,aluno_no_momento,anos_matriculados,ano_de_entrada,ano_de_saida,aluno_em_2016,aluno_em_2017,aluno_em_2018,aluno_em_2019,aluno_em_2020,fase_em_2020,aluno_em_2021,fase_em_2021,aluno_em_2022,fase_em_2022
ALUNO-1195,True,3,2020,,False,False,False,False,True,2.0,True,3.0,True,4.0
ALUNO-1196,False,1,2021,2021.0,False,False,False,False,False,,True,7.0,False,
ALUNO-1197,False,2,2016,2021.0,True,True,True,True,True,6.0,True,7.0,False,
ALUNO-1198,False,2,2020,2021.0,False,False,False,False,True,1.0,True,2.0,False,
ALUNO-1199,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1200,False,1,2018,2020.0,False,False,True,True,True,6.0,False,,False,
ALUNO-1201,False,1,2021,2021.0,False,False,False,False,False,,True,7.0,False,
ALUNO-1202,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1203,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1204,True,2,2021,,False,False,False,False,False,,True,1.0,True,1.0
ALUNO-1205,False,2,2019,2021.0,False,False,False,True,True,1.0,True,2.0,False,
ALUNO-1206,True,2,2021,,False,False,False,False,False,,True,0.0,True,1.0
ALUNO-1207,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1208,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1209,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1210,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1211,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1212,False,1,2021,2021.0,False,False,False,False,False,,True,1.0,False,
ALUNO-1213,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1214,True,2,2021,,False,False,False,False,False,,True,1.0,True,1.0
ALUNO-1215,True,3,2019,,False,False,False,True,True,1.0,True,1.0,True,2.0
ALUNO-1216,False,1,2019,2020.0,False,False,False,True,True,8.0,False,,False,
ALUNO-1217,True,3,2016,,True,True,True,True,True,3.0,True,3.0,True,4.0
ALUNO-1218,False,1,2017,2020.0,False,True,True,True,True,7.0,False,,False,
ALUNO-1219,True,3,2017,,False,True,True,True,True,4.0,True,5.0,True,5.0
ALUNO-1220,True,1,2022,,False,False,False,False,False,,False,,True,5.0
ALUNO-1221,True,2,2021,,False,False,False,False,False,,True,2.0,True,3.0
ALUNO-1222,False,1,2016,2020.0,True,True,True,True,True,7.0,False,,False,
ALUNO-1223,True,3,2019,,False,False,False,True,True,1.0,True,2.0,True,3.0
ALUNO-1224,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1225,False,1,2019,2020.0,False,False,False,True,True,2.0,False,,False,
ALUNO-1226,True,3,2019,,False,False,False,True,True,1.0,True,2.0,True,3.0
ALUNO-1227,True,1,2022,,False,False,False,False,False,,False,,True,5.0
ALUNO-1228,False,2,2019,2021.0,False,False,False,True,True,2.0,True,3.0,False,
ALUNO-1229,False,2,2018,2021.0,False,False,True,True,True,1.0,True,1.0,False,
ALUNO-1230,True,3,2017,,False,True,True,True,True,3.0,True,4.0,True,4.0
ALUNO-1231,True,3,2017,,False,True,True,True,True,2.0,True,2.0,True,2.0
ALUNO-1232,False,2,2019,2021.0,False,False,False,True,True,2.0,True,2.0,False,
ALUNO-1233,True,2,2021,,False,False,False,False,False,,True,5.0,True,6.0
ALUNO-1234,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1235,True,1,2022,,False,False,False,False,False,,False,,True,5.0
ALUNO-1236,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1237,True,3,2019,,False,False,False,True,True,2.0,True,3.0,True,3.0
ALUNO-1238,False,1,2018,2020.0,False,False,True,True,True,1.0,False,,False,
ALUNO-1239,True,2,2021,,False,False,False,False,False,,True,1.0,True,2.0
ALUNO-1240,False,1,2021,2021.0,False,False,False,False,False,,True,2.0,False,
ALUNO-1241,False,1,2018,2020.0,False,False,True,True,True,2.0,False,,False,
ALUNO-1242,False,1,2021,2021.0,False,False,False,False,False,,True,1.0,False,
ALUNO-1243,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1244,True,3,2019,,False,False,False,True,True,1.0,True,1.0,True,1.0
ALUNO-1245,True,1,2022,,False,False,False,False,False,,False,,True,5.0
ALUNO-1246,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1247,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1248,True,3,2017,,False,True,True,True,True,3.0,True,3.0,True,4.0
ALUNO-1249,False,1,2017,2020.0,False,True,True,True,True,5.0,False,,False,
ALUNO-1250,True,3,2019,,False,False,False,True,True,3.0,True,3.0,True,4.0
ALUNO-1251,True,3,2020,,False,False,False,False,True,3.0,True,3.0,True,4.0
ALUNO-1252,False,1,2018,2020.0,False,False,True,True,True,6.0,False,,False,
ALUNO-1253,False,1,2019,2020.0,False,False,False,True,True,0.0,False,,False,
ALUNO-1254,False,2,2018,2021.0,False,False,True,True,True,2.0,True,3.0,False,
ALUNO-1255,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1256,False,2,2018,2021.0,False,False,True,True,True,4.0,True,5.0,False,
ALUNO-1257,False,1,2019,2020.0,False,False,False,True,True,3.0,False,,False,
ALUNO-1258,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1260,True,3,2020,,False,False,False,False,True,1.0,True,1.0,True,1.0
